Benchmark,Model,Task_Name,Task_Version,Evaluation_Date,Numerical_Result,Upper_Confidence_Limit,Lower_Confidence_Limit,Boolean_Result
shrutibaghel19/tutorbench-compliance-pedagogy-frontier,gemini-2.5-flash,tutorbench_v4,1,"2026-04-15 11:35:16",0.3632125988494378,,,
shrutibaghel19/tutorbench-compliance-pedagogy-frontier,gemini-2.5-flash,tutorbench_v5,1,"2026-04-15 21:56:18",0.21895806359222783,,,
shrutibaghel19/tutorbench-compliance-pedagogy-frontier,gemini-2.5-flash,tutorbench_per_level_diagnostic,1,"2026-04-16 17:18:23",0.9,,,
shrutibaghel19/tutorbench-compliance-pedagogy-frontier,claude-haiku-4-5-20251001,,1,,,,,
shrutibaghel19/tutorbench-compliance-pedagogy-frontier,claude-haiku-4-5-20251001,tutorbench_v4,1,"2026-04-15 13:26:44",0.24877076413051388,,,
shrutibaghel19/tutorbench-compliance-pedagogy-frontier,claude-haiku-4-5-20251001,tutorbench_v5,1,"2026-04-15 21:56:28",0.21654615913791217,,,
shrutibaghel19/tutorbench-compliance-pedagogy-frontier,claude-haiku-4-5-20251001,tutorbench_per_level_diagnostic,1,"2026-04-16 17:18:19",0.8416666666666667,,,
shrutibaghel19/tutorbench-compliance-pedagogy-frontier,gemini-3-flash-preview,,1,,,,,
shrutibaghel19/tutorbench-compliance-pedagogy-frontier,gemini-3-flash-preview,tutorbench_v4,1,,,,,
shrutibaghel19/tutorbench-compliance-pedagogy-frontier,gemini-3-flash-preview,tutorbench_v5,1,"2026-04-15 21:30:33",0.18604995007699152,,,
shrutibaghel19/tutorbench-compliance-pedagogy-frontier,gemini-3-flash-preview,tutorbench_per_level_diagnostic,1,"2026-04-16 17:18:18",0.875,,,
shrutibaghel19/tutorbench-compliance-pedagogy-frontier,claude-sonnet-4-6-default,,1,,,,,
shrutibaghel19/tutorbench-compliance-pedagogy-frontier,claude-sonnet-4-6-default,tutorbench_v4,1,"2026-04-15 13:26:54",0.21874665697722234,,,
shrutibaghel19/tutorbench-compliance-pedagogy-frontier,claude-sonnet-4-6-default,tutorbench_v5,1,"2026-04-15 21:56:22",0.24851152896791107,,,
shrutibaghel19/tutorbench-compliance-pedagogy-frontier,claude-sonnet-4-6-default,tutorbench_per_level_diagnostic,1,"2026-04-16 17:18:20",0.8083333333333333,,,
shrutibaghel19/tutorbench-compliance-pedagogy-frontier,gpt-5.4-nano-2026-03-17,,1,,,,,
shrutibaghel19/tutorbench-compliance-pedagogy-frontier,gpt-5.4-nano-2026-03-17,tutorbench_v4,1,"2026-04-15 13:27:06",0.44251666454346744,,,
shrutibaghel19/tutorbench-compliance-pedagogy-frontier,gpt-5.4-nano-2026-03-17,tutorbench_v5,1,"2026-04-15 21:56:19",0.4457287564390016,,,
shrutibaghel19/tutorbench-compliance-pedagogy-frontier,gpt-5.4-nano-2026-03-17,tutorbench_per_level_diagnostic,1,"2026-04-16 17:18:21",0.7333333333333334,,,
shrutibaghel19/tutorbench-compliance-pedagogy-frontier,gemma-4-31b-it,,1,,,,,
shrutibaghel19/tutorbench-compliance-pedagogy-frontier,gemma-4-31b-it,tutorbench_v4,1,"2026-04-15 13:26:52",0.21077913521519806,,,
shrutibaghel19/tutorbench-compliance-pedagogy-frontier,gemma-4-31b-it,tutorbench_v5,1,"2026-04-15 21:56:24",0.2637512532270657,,,
shrutibaghel19/tutorbench-compliance-pedagogy-frontier,gemma-4-31b-it,tutorbench_per_level_diagnostic,1,"2026-04-16 17:18:19",0.8166666666666667,,,
shrutibaghel19/tutorbench-compliance-pedagogy-frontier,gemma-4-26b-a4b-it,,1,,,,,
shrutibaghel19/tutorbench-compliance-pedagogy-frontier,gemma-4-26b-a4b-it,tutorbench_v4,1,"2026-04-15 13:26:51",0.501031750611637,,,
shrutibaghel19/tutorbench-compliance-pedagogy-frontier,gemma-4-26b-a4b-it,tutorbench_v5,1,"2026-04-15 21:56:26",0.5151346556314366,,,
shrutibaghel19/tutorbench-compliance-pedagogy-frontier,gemma-4-26b-a4b-it,tutorbench_per_level_diagnostic,1,"2026-04-16 17:18:18",0.875,,,
